wconfid,pctid,y,z,time
1,20,0.063,-0.125,0 days 00:03:04
1,20,-0.09,-0.156,0 days 00:03:05
1,20,-0.074,-0.125,0 days 00:03:06
1,20,0.059,-0.125,0 days 00:03:07
1,20,-0.063,-0.145,0 days 00:03:08
1,20,-0.102,-0.121,0 days 00:03:09
1,20,0.066,-0.125,0 days 00:03:10
1,20,-0.035,-0.145,0 days 00:03:11
1,20,-0.09,-0.121,0 days 00:03:12
1,20,0.109,-0.117,0 days 00:03:13
1,20,-0.004,-0.137,0 days 00:03:14
1,20,-0.066,-0.125,0 days 00:03:15
1,20,0.098,-0.117,0 days 00:03:16
1,20,0.02,-0.141,0 days 00:03:17
1,20,0.082,-0.125,0 days 00:03:18
1,20,0.078,-0.129,0 days 00:03:19
1,20,-0.031,-0.133,0 days 00:03:20
1,20,-0.156,-0.117,0 days 00:03:21
1,20,0.066,-0.125,0 days 00:03:22
1,20,-0.02,-0.129,0 days 00:03:23
1,20,-0.133,-0.152,0 days 00:03:24
1,20,0.141,-0.129,0 days 00:03:25
1,20,0.016,-0.125,0 days 00:03:26
1,20,0.121,-0.156,0 days 00:03:27
1,20,0.07,-0.113,0 days 00:03:28
1,20,-0.059,-0.156,0 days 00:03:29
1,20,0.074,-0.117,0 days 00:03:30
1,20,-0.066,-0.137,0 days 00:03:31
1,20,-0.031,-0.148,0 days 00:03:32
1,20,0.121,-0.098,0 days 00:03:33
1,20,-0.063,-0.129,0 days 00:03:34
1,20,-0.004,-0.141,0 days 00:03:35
1,20,-0.09,-0.121,0 days 00:03:36
1,20,0.117,-0.121,0 days 00:03:37
1,20,0.004,-0.133,0 days 00:03:38
1,20,-0.074,-0.129,0 days 00:03:39
1,20,-0.137,-0.148,0 days 00:03:40
1,20,0.043,-0.141,0 days 00:03:41
1,20,-0.031,-0.129,0 days 00:03:42
1,20,-0.129,-0.152,0 days 00:03:43
1,20,0.078,-0.133,0 days 00:03:44
1,20,0.082,-0.125,0 days 00:03:45
1,20,0.043,-0.133,0 days 00:03:46
1,20,0.016,-0.117,0 days 00:03:47
1,20,-0.113,-0.141,0 days 00:03:48
1,20,-0.078,-0.125,0 days 00:03:49
1,20,-0.008,-0.125,0 days 00:03:50
1,20,0.039,-0.117,0 days 00:03:51
1,20,-0.086,-0.117,0 days 00:03:52
1,20,0.059,-0.117,0 days 00:03:53
1,20,-0.02,-0.148,0 days 00:03:54
1,20,-0.082,-0.129,0 days 00:03:55
1,20,0.066,-0.117,0 days 00:03:56
1,20,-0.07,-0.16,0 days 00:03:57
1,20,-0.031,-0.125,0 days 00:03:58
1,20,0.078,-0.125,0 days 00:03:59
1,20,-0.047,-0.145,0 days 00:04:00
1,20,-0.09,-0.125,0 days 00:04:01
1,20,0.051,-0.125,0 days 00:04:02
1,20,-0.016,-0.148,0 days 00:04:03
1,20,-0.102,-0.113,0 days 00:04:04
1,20,0.098,-0.121,0 days 00:04:05
1,20,0.051,-0.145,0 days 00:04:06
1,20,0.102,-0.125,0 days 00:04:07
1,20,0.094,-0.133,0 days 00:04:08
1,20,-0.039,-0.129,0 days 00:04:09
1,20,-0.109,-0.148,0 days 00:04:10
1,20,0.109,-0.125,0 days 00:04:11
1,20,-0.027,-0.125,0 days 00:04:12
1,20,-0.105,-0.141,0 days 00:04:13
1,20,0.098,-0.129,0 days 00:04:14
1,20,-0.004,-0.125,0 days 00:04:15
1,20,-0.141,-0.156,0 days 00:04:16
1,20,0.039,-0.125,0 days 00:04:17
1,20,0.02,-0.129,0 days 00:04:18
1,20,0.133,-0.145,0 days 00:04:19
1,20,0.094,-0.125,0 days 00:04:20
1,20,0.004,-0.145,0 days 00:04:21
1,20,-0.078,-0.133,0 days 00:04:22
1,20,-0.094,-0.145,0 days 00:04:23
1,20,-0.027,-0.145,0 days 00:04:24
1,20,-0.035,-0.109,0 days 00:04:25
1,20,0.094,-0.125,0 days 00:04:26
1,20,-0.004,-0.141,0 days 00:04:27
1,20,-0.094,-0.117,0 days 00:04:28
1,20,0.047,-0.133,0 days 00:04:29
1,20,0.027,-0.141,0 days 00:04:30
1,20,0.102,-0.133,0 days 00:04:31
1,20,0.121,-0.129,0 days 00:04:32
1,20,-0.004,-0.137,0 days 00:04:33
1,20,0.082,-0.125,0 days 00:04:34
1,20,-0.063,-0.121,0 days 00:04:35
1,20,0.004,-0.133,0 days 00:04:36
1,20,-0.082,-0.137,0 days 00:04:37
1,20,-0.07,-0.121,0 days 00:04:38
1,20,0.031,-0.125,0 days 00:04:39
1,20,-0.09,-0.148,0 days 00:04:40
1,20,-0.055,-0.125,0 days 00:04:41
1,20,0.043,-0.125,0 days 00:04:42
1,20,-0.098,-0.156,0 days 00:04:43
1,20,-0.043,-0.125,0 days 00:04:44
1,20,0.059,-0.125,0 days 00:04:45
1,20,-0.066,-0.156,0 days 00:04:46
1,20,-0.094,-0.113,0 days 00:04:47
1,20,0.012,-0.137,0 days 00:04:48
1,20,-0.035,-0.145,0 days 00:04:49
1,20,-0.102,-0.105,0 days 00:04:50
1,20,0.098,-0.113,0 days 00:04:51
1,20,0.039,-0.141,0 days 00:04:52
1,20,0.102,-0.117,0 days 00:04:53
1,20,0.086,-0.137,0 days 00:04:54
1,20,-0.047,-0.121,0 days 00:04:55
1,20,-0.082,-0.121,0 days 00:04:56
1,20,0.09,-0.133,0 days 00:04:57
1,20,-0.039,-0.129,0 days 00:04:58
1,20,-0.125,-0.145,0 days 00:04:59
1,20,0.086,-0.141,0 days 00:05:00
1,20,-0.008,-0.129,0 days 00:05:01
1,20,-0.145,-0.156,0 days 00:05:02
1,20,0.059,-0.125,0 days 00:05:03
1,20,0.008,-0.121,0 days 00:05:04
1,20,0.125,-0.156,0 days 00:05:05
1,20,0.082,-0.121,0 days 00:05:06
1,20,0.008,-0.117,0 days 00:05:07
1,20,-0.082,-0.121,0 days 00:05:08
1,20,-0.09,-0.137,0 days 00:05:09
1,20,-0.027,-0.145,0 days 00:05:10
1,20,-0.035,-0.121,0 days 00:05:11
1,20,0.098,-0.125,0 days 00:05:12
1,20,-0.008,-0.141,0 days 00:05:13
1,20,-0.094,-0.121,0 days 00:05:14
1,20,0.066,-0.125,0 days 00:05:15
1,20,0.023,-0.145,0 days 00:05:16
1,20,-0.078,-0.133,0 days 00:05:17
1,20,-0.113,-0.145,0 days 00:05:18
1,20,0.043,-0.137,0 days 00:05:19
1,20,0.082,-0.125,0 days 00:05:20
1,20,0.137,-0.113,0 days 00:05:21
1,20,0.027,-0.137,0 days 00:05:22
1,20,-0.105,-0.145,0 days 00:05:23
1,20,-0.07,-0.121,0 days 00:05:24
1,20,0.023,-0.129,0 days 00:05:25
1,20,-0.004,-0.129,0 days 00:05:26
1,20,-0.066,-0.125,0 days 00:05:27
1,20,0.039,-0.125,0 days 00:05:28
1,20,-0.105,-0.148,0 days 00:05:29
1,20,-0.031,-0.125,0 days 00:05:30
1,20,0.059,-0.113,0 days 00:05:31
1,20,-0.078,-0.148,0 days 00:05:32
1,20,-0.086,-0.121,0 days 00:05:33
1,20,0.055,-0.125,0 days 00:05:34
1,20,-0.051,-0.16,0 days 00:05:35
1,20,-0.105,-0.121,0 days 00:05:36
1,20,0.051,-0.129,0 days 00:05:37
1,20,-0.016,-0.141,0 days 00:05:38
1,20,-0.098,-0.125,0 days 00:05:39
1,20,0.113,-0.113,0 days 00:05:40
1,20,0.02,-0.117,0 days 00:05:41
1,20,0.098,-0.121,0 days 00:05:42
1,20,0.086,-0.125,0 days 00:05:43
1,20,-0.047,-0.129,0 days 00:05:44
1,20,-0.074,-0.133,0 days 00:05:45
1,20,0.102,-0.133,0 days 00:05:46
1,20,-0.008,-0.129,0 days 00:05:47
1,20,-0.129,-0.145,0 days 00:05:48
1,20,0.094,-0.133,0 days 00:05:49
1,20,0.0,-0.129,0 days 00:05:50
1,20,0.148,-0.152,0 days 00:05:51
1,20,0.063,-0.125,0 days 00:05:52
1,20,-0.059,-0.148,0 days 00:05:53
1,20,0.145,-0.129,0 days 00:05:54
1,20,-0.082,-0.125,0 days 00:05:55
1,20,0.012,-0.133,0 days 00:05:56
1,20,-0.086,-0.125,0 days 00:05:57
1,20,-0.105,-0.141,0 days 00:05:58
1,20,-0.012,-0.141,0 days 00:05:59
1,20,-0.039,-0.125,0 days 00:06:00
1,20,0.098,-0.117,0 days 00:06:01
1,20,0.023,-0.145,0 days 00:06:02
1,20,-0.066,-0.137,0 days 00:06:03
1,20,-0.098,-0.137,0 days 00:06:04
1,20,0.043,-0.137,0 days 00:06:05
1,20,0.105,-0.121,0 days 00:06:06
1,20,0.02,-0.117,0 days 00:06:07
1,20,-0.004,-0.117,0 days 00:06:08
1,20,0.086,-0.121,0 days 00:06:09
1,20,-0.066,-0.129,0 days 00:06:10
1,20,-0.008,-0.137,0 days 00:06:11
1,20,0.063,-0.129,0 days 00:06:12
1,20,-0.074,-0.117,0 days 00:06:13
1,20,0.035,-0.125,0 days 00:06:14
1,20,-0.066,-0.156,0 days 00:06:15
1,20,-0.078,-0.117,0 days 00:06:16
1,20,0.063,-0.125,0 days 00:06:17
1,20,-0.051,-0.145,0 days 00:06:18
1,20,-0.066,-0.121,0 days 00:06:19
1,20,0.063,-0.133,0 days 00:06:20
1,20,-0.059,-0.141,0 days 00:06:21
1,20,-0.023,-0.121,0 days 00:06:22
1,20,0.082,-0.125,0 days 00:06:23
1,20,-0.039,-0.145,0 days 00:06:24
1,20,-0.094,-0.125,0 days 00:06:25
1,20,0.063,-0.121,0 days 00:06:26
1,20,0.086,-0.137,0 days 00:06:27
1,20,0.125,-0.113,0 days 00:06:28
1,20,0.066,-0.133,0 days 00:06:29
1,20,-0.035,-0.125,0 days 00:06:30
1,20,-0.152,-0.121,0 days 00:06:31
1,20,0.109,-0.137,0 days 00:06:32
1,20,-0.012,-0.137,0 days 00:06:33
1,20,-0.129,-0.148,0 days 00:06:34
1,20,0.121,-0.137,0 days 00:06:35
1,20,-0.016,-0.121,0 days 00:06:36
1,20,-0.055,-0.148,0 days 00:06:37
1,20,0.125,-0.133,0 days 00:06:38
1,20,0.008,-0.129,0 days 00:06:39
1,20,0.141,-0.145,0 days 00:06:40
1,20,0.039,-0.125,0 days 00:06:41
1,20,-0.074,-0.156,0 days 00:06:42
1,20,-0.102,-0.121,0 days 00:06:43
1,20,0.055,-0.129,0 days 00:06:44
1,20,-0.043,-0.148,0 days 00:06:45
1,20,-0.09,-0.117,0 days 00:06:46
1,20,0.098,-0.125,0 days 00:06:47
1,20,0.008,-0.145,0 days 00:06:48
1,20,-0.078,-0.117,0 days 00:06:49
1,20,-0.125,-0.152,0 days 00:06:50
1,20,0.0,-0.145,0 days 00:06:51
1,20,0.066,-0.125,0 days 00:06:52
1,20,0.082,-0.133,0 days 00:06:53
1,20,-0.043,-0.133,0 days 00:06:54
1,20,0.066,-0.125,0 days 00:06:55
1,20,-0.008,-0.129,0 days 00:06:56
1,20,-0.035,-0.129,0 days 00:06:57
1,20,0.102,-0.125,0 days 00:06:58
1,20,-0.008,-0.117,0 days 00:06:59
1,20,-0.008,-0.125,0 days 00:07:00
1,20,0.082,-0.125,0 days 00:07:01
1,20,-0.063,-0.117,0 days 00:07:02
1,20,0.008,-0.121,0 days 00:07:03
1,20,-0.117,-0.16,0 days 00:07:04
1,20,-0.09,-0.113,0 days 00:07:05
1,20,0.012,-0.117,0 days 00:07:06
1,20,-0.094,-0.145,0 days 00:07:07
1,20,-0.086,-0.121,0 days 00:07:08
1,20,0.051,-0.129,0 days 00:07:09
1,20,-0.035,-0.133,0 days 00:07:10
1,20,-0.078,-0.125,0 days 00:07:11
1,20,0.074,-0.125,0 days 00:07:12
1,20,0.109,-0.141,0 days 00:07:13
1,20,0.078,-0.129,0 days 00:07:14
1,20,0.02,-0.141,0 days 00:07:15
1,20,-0.082,-0.125,0 days 00:07:16
1,20,-0.055,-0.125,0 days 00:07:17
1,20,0.039,-0.141,0 days 00:07:18
1,20,-0.078,-0.164,0 days 00:07:19
1,20,-0.137,-0.148,0 days 00:07:20
1,20,0.039,-0.137,0 days 00:07:21
1,20,-0.047,-0.125,0 days 00:07:22
1,20,-0.164,-0.148,0 days 00:07:23
1,20,0.066,-0.133,0 days 00:07:24
1,20,-0.031,-0.125,0 days 00:07:25
1,20,-0.148,-0.152,0 days 00:07:26
1,20,0.125,-0.129,0 days 00:07:27
1,20,-0.012,-0.141,0 days 00:07:28
1,20,-0.133,-0.156,0 days 00:07:29
1,20,0.141,-0.125,0 days 00:07:30
1,20,0.008,-0.129,0 days 00:07:31
1,20,0.082,-0.113,0 days 00:07:32
1,20,0.063,-0.125,0 days 00:07:33
1,20,-0.086,-0.148,0 days 00:07:34
1,20,-0.07,-0.117,0 days 00:07:35
1,20,0.063,-0.129,0 days 00:07:36
1,20,-0.047,-0.156,0 days 00:07:37
1,20,-0.105,-0.125,0 days 00:07:38
1,20,0.016,-0.133,0 days 00:07:39
1,20,-0.023,-0.152,0 days 00:07:40
1,20,-0.102,-0.125,0 days 00:07:41
1,20,0.098,-0.125,0 days 00:07:42
1,20,-0.004,-0.145,0 days 00:07:43
1,20,-0.078,-0.117,0 days 00:07:44
1,20,0.109,-0.121,0 days 00:07:45
1,20,0.012,-0.129,0 days 00:07:46
1,20,0.086,-0.117,0 days 00:07:47
1,20,0.109,-0.113,0 days 00:07:48
1,20,-0.027,-0.117,0 days 00:07:49
1,20,-0.051,-0.121,0 days 00:07:50
1,20,0.113,-0.129,0 days 00:07:51
1,20,-0.008,-0.125,0 days 00:07:52
1,20,-0.125,-0.121,0 days 00:07:53
1,20,0.102,-0.129,0 days 00:07:54
1,20,0.0,-0.121,0 days 00:07:55
1,20,-0.137,-0.16,0 days 00:07:56
1,20,-0.031,-0.133,0 days 00:07:57
1,20,0.031,-0.125,0 days 00:07:58
1,20,0.148,-0.156,0 days 00:07:59
1,20,0.094,-0.121,0 days 00:08:00
1,20,-0.012,-0.129,0 days 00:08:01
1,20,0.117,-0.117,0 days 00:08:02
1,20,-0.117,-0.125,0 days 00:08:03
1,20,-0.008,-0.141,0 days 00:08:04
1,20,0.094,-0.125,0 days 00:08:05
1,20,-0.129,-0.145,0 days 00:08:06
1,20,0.027,-0.141,0 days 00:08:07
1,20,-0.027,-0.125,0 days 00:08:08
1,20,-0.133,-0.137,0 days 00:08:09
1,20,0.055,-0.145,0 days 00:08:10
1,20,-0.059,-0.121,0 days 00:08:11
1,20,-0.105,-0.145,0 days 00:08:12
1,20,0.078,-0.133,0 days 00:08:13
1,20,-0.043,-0.129,0 days 00:08:14
1,20,-0.023,-0.133,0 days 00:08:15
1,20,0.094,-0.125,0 days 00:08:16
1,20,-0.039,-0.102,0 days 00:08:17
1,20,-0.133,-0.156,0 days 00:08:18
1,20,0.078,-0.125,0 days 00:08:19
1,20,0.043,-0.105,0 days 00:08:20
1,20,0.156,-0.113,0 days 00:08:21
1,20,0.047,-0.121,0 days 00:08:22
1,20,-0.074,-0.16,0 days 00:08:23
1,20,-0.09,-0.121,0 days 00:08:24
1,20,0.078,-0.121,0 days 00:08:25
1,20,-0.004,-0.145,0 days 00:08:26
1,20,-0.082,-0.117,0 days 00:08:27
1,20,0.102,-0.117,0 days 00:08:28
1,20,-0.023,-0.141,0 days 00:08:29
1,20,-0.059,-0.117,0 days 00:08:30
1,20,0.113,-0.117,0 days 00:08:31
1,20,-0.012,-0.137,0 days 00:08:32
1,20,-0.027,-0.141,0 days 00:08:33
1,20,0.109,-0.121,0 days 00:08:34
1,20,0.02,-0.137,0 days 00:08:35
1,20,0.117,-0.121,0 days 00:08:36
1,20,0.059,-0.133,0 days 00:08:37
1,20,-0.031,-0.129,0 days 00:08:38
1,20,-0.16,-0.125,0 days 00:08:39
1,20,0.066,-0.125,0 days 00:08:40
1,20,-0.008,-0.125,0 days 00:08:41
1,20,-0.145,-0.129,0 days 00:08:42
1,20,0.145,-0.125,0 days 00:08:43
1,20,0.0,-0.121,0 days 00:08:44
1,20,0.133,-0.145,0 days 00:08:45
1,20,0.07,-0.141,0 days 00:08:46
1,20,-0.035,-0.148,0 days 00:08:47
1,20,0.113,-0.125,0 days 00:08:48
1,20,-0.082,-0.117,0 days 00:08:49
1,20,-0.035,-0.145,0 days 00:08:50
1,20,0.031,-0.137,0 days 00:08:51
1,20,-0.098,-0.152,0 days 00:08:52
1,20,-0.012,-0.148,0 days 00:08:53
1,20,-0.09,-0.109,0 days 00:08:54
1,20,0.074,-0.121,0 days 00:08:55
1,20,0.012,-0.141,0 days 00:08:56
1,20,-0.094,-0.125,0 days 00:08:57
1,20,-0.051,-0.133,0 days 00:08:58
1,20,0.035,-0.137,0 days 00:08:59
1,20,-0.063,-0.156,0 days 00:09:00
1,20,-0.148,-0.137,0 days 00:09:01
1,20,0.043,-0.141,0 days 00:09:02
1,20,-0.047,-0.125,0 days 00:09:03
1,20,-0.156,-0.152,0 days 00:09:04
1,20,0.035,-0.125,0 days 00:09:05
1,20,0.066,-0.125,0 days 00:09:06
1,20,0.152,-0.121,0 days 00:09:07
1,20,0.031,-0.121,0 days 00:09:08
1,20,-0.031,-0.152,0 days 00:09:09
1,20,-0.074,-0.113,0 days 00:09:10
1,20,0.051,-0.129,0 days 00:09:11
1,20,-0.07,-0.141,0 days 00:09:12
1,20,-0.066,-0.109,0 days 00:09:13
1,20,0.047,-0.137,0 days 00:09:14
1,20,-0.055,-0.148,0 days 00:09:15
1,20,-0.027,-0.125,0 days 00:09:16
1,20,0.082,-0.125,0 days 00:09:17
1,20,-0.043,-0.156,0 days 00:09:18
1,20,-0.09,-0.125,0 days 00:09:19
1,20,0.07,-0.121,0 days 00:09:20
1,20,-0.027,-0.145,0 days 00:09:21
1,20,-0.098,-0.129,0 days 00:09:22
1,20,0.016,-0.137,0 days 00:09:23
1,20,0.066,-0.145,0 days 00:09:24
1,20,0.117,-0.121,0 days 00:09:25
1,20,0.098,-0.125,0 days 00:09:26
1,20,-0.023,-0.129,0 days 00:09:27
1,20,-0.133,-0.121,0 days 00:09:28
1,20,0.102,-0.125,0 days 00:09:29
1,20,0.008,-0.121,0 days 00:09:30
1,20,0.121,-0.152,0 days 00:09:31
1,20,0.047,-0.125,0 days 00:09:32
1,20,-0.105,-0.156,0 days 00:09:33
1,20,0.078,-0.133,0 days 00:09:34
1,20,-0.043,-0.109,0 days 00:09:35
1,20,-0.082,-0.152,0 days 00:09:36
1,20,0.102,-0.121,0 days 00:09:37
1,20,-0.055,-0.141,0 days 00:09:38
1,20,-0.059,-0.152,0 days 00:09:39
1,20,-0.094,-0.109,0 days 00:09:40
1,20,0.02,-0.129,0 days 00:09:41
1,20,-0.027,-0.148,0 days 00:09:42
1,20,-0.098,-0.105,0 days 00:09:43
1,20,0.082,-0.129,0 days 00:09:44
1,20,-0.008,-0.145,0 days 00:09:45
1,20,-0.09,-0.117,0 days 00:09:46
1,20,0.121,-0.113,0 days 00:09:47
1,20,0.02,-0.129,0 days 00:09:48
1,20,-0.074,-0.125,0 days 00:09:49
1,20,-0.148,-0.152,0 days 00:09:50
1,20,0.027,-0.133,0 days 00:09:51
1,20,0.074,-0.121,0 days 00:09:52
